INFO 2025-03-15 16:38:49,599 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-15 16:38:50,134 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\collections\abc.py first seen with mtime 1718369317.5918138
DEBUG 2025-03-15 16:38:50,134 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1737627459.9938636
DEBUG 2025-03-15 16:38:50,134 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\dateutil\_common.py first seen with mtime 1739098038.2217278
DEBUG 2025-03-15 16:38:50,134 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\views\static.py first seen with mtime 1737627461.1199927
DEBUG 2025-03-15 16:38:50,134 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\cffi\api.py first seen with mtime 1737556620.7565196
DEBUG 2025-03-15 16:38:50,134 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1737627459.5719657
DEBUG 2025-03-15 16:38:50,135 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\kombu\utils\compat.py first seen with mtime 1739098038.9193146
DEBUG 2025-03-15 16:38:50,135 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\core\management\color.py first seen with mtime 1737627460.976051
DEBUG 2025-03-15 16:38:50,135 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\html\__init__.py first seen with mtime 1718369317.958814
DEBUG 2025-03-15 16:38:50,136 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\core\files\utils.py first seen with mtime 1737627460.9670515
DEBUG 2025-03-15 16:38:50,136 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django_filters\widgets.py first seen with mtime 1736853938.8486204
DEBUG 2025-03-15 16:38:50,136 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\email\mime\base.py first seen with mtime 1718369317.6558173
DEBUG 2025-03-15 16:38:50,136 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\celery\utils\term.py first seen with mtime 1740406340.2261162
DEBUG 2025-03-15 16:38:50,136 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1737627460.9930556
DEBUG 2025-03-15 16:38:50,136 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\copyreg.py first seen with mtime 1718369317.6058135
DEBUG 2025-03-15 16:38:50,137 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\utils\http.py first seen with mtime 1737627461.1079907
DEBUG 2025-03-15 16:38:50,137 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\allauth\account\checks.py first seen with mtime 1737555978.1581886
DEBUG 2025-03-15 16:38:50,137 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1737627461.0120552
DEBUG 2025-03-15 16:38:50,137 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\allauth\account\internal\flows\login.py first seen with mtime 1737555978.1663752
DEBUG 2025-03-15 16:38:50,138 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\dateutil\__init__.py first seen with mtime 1739098038.2211785
DEBUG 2025-03-15 16:38:50,138 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\reprlib.py first seen with mtime 1733513943.0029442
DEBUG 2025-03-15 16:38:50,138 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\cffi\model.py first seen with mtime 1737556620.76052
DEBUG 2025-03-15 16:38:50,138 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\template\backends\django.py first seen with mtime 1737627461.0889812
DEBUG 2025-03-15 16:38:50,139 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1737627461.100981
DEBUG 2025-03-15 16:38:50,139 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1737627459.9888625
DEBUG 2025-03-15 16:38:50,139 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\idna\intranges.py first seen with mtime 1737556559.653224
DEBUG 2025-03-15 16:38:50,139 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\kombu\messaging.py first seen with mtime 1739098038.8830156
DEBUG 2025-03-15 16:38:50,140 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\statistics.py first seen with mtime 1723133892.6649945
DEBUG 2025-03-15 16:38:50,140 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\core\checks\database.py first seen with mtime 1737627460.9590533
DEBUG 2025-03-15 16:38:50,140 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1737627459.8769686
DEBUG 2025-03-15 16:38:50,140 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\pkgutil.py first seen with mtime 1718369318.585773
DEBUG 2025-03-15 16:38:50,141 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1736171968.1815798
DEBUG 2025-03-15 16:38:50,141 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1737627459.5779657
